Month,Statistic Label,VALUE
1961-01-01 00:01:00,Lowest Temperature,-2.891666666666667
1961-01-01 00:01:00,Mean Temperature,4.866666666666666
1961-01-01 00:02:00,Average Maximum Temperature,10.316666666666666
1961-01-01 00:02:00,Average Minimum Temperature,5.483333333333333
1961-01-01 00:02:00,Highest Temperature,13.275
1961-01-01 00:02:00,Lowest Temperature,0.6583333333333333
1961-01-01 00:02:00,Mean Temperature,7.925
1961-01-01 00:03:00,Average Maximum Temperature,11.841666666666667
1961-01-01 00:03:00,Average Minimum Temperature,5.808333333333334
1961-01-01 00:03:00,Highest Temperature,16.183333333333334
1961-01-01 00:03:00,Lowest Temperature,0.425
1961-01-01 00:03:00,Mean Temperature,8.866666666666667
1961-01-01 00:04:00,Average Maximum Temperature,12.933333333333332
1961-01-01 00:04:00,Average Minimum Temperature,6.108333333333333
1961-01-01 00:04:00,Highest Temperature,16.733333333333334
1961-01-01 00:04:00,Lowest Temperature,0.8833333333333333
1961-01-01 00:04:00,Mean Temperature,9.533333333333333
1961-01-01 00:05:00,Average Maximum Temperature,14.85
1961-01-01 00:05:00,Average Minimum Temperature,6.833333333333333
1961-01-01 00:05:00,Highest Temperature,20.158333333333335
1961-01-01 00:05:00,Lowest Temperature,1.8083333333333333
1961-01-01 00:05:00,Mean Temperature,10.866666666666667
1961-01-01 00:06:00,Average Maximum Temperature,16.658333333333335
1961-01-01 00:06:00,Average Minimum Temperature,9.391666666666667
1961-01-01 00:06:00,Highest Temperature,20.766666666666666
1961-01-01 00:06:00,Lowest Temperature,4.75
1961-01-01 00:06:00,Mean Temperature,13.041666666666666
1961-01-01 00:07:00,Average Maximum Temperature,17.175
1961-01-01 00:07:00,Average Minimum Temperature,10.616666666666667
1961-01-01 00:07:00,Highest Temperature,19.98333333333333
1961-01-01 00:07:00,Lowest Temperature,6.366666666666667
1961-01-01 00:07:00,Mean Temperature,13.924999999999999
1961-01-01 00:08:00,Average Maximum Temperature,17.808333333333334
1961-01-01 00:08:00,Average Minimum Temperature,10.566666666666666
1961-01-01 00:08:00,Highest Temperature,22.5
1961-01-01 00:08:00,Lowest Temperature,5.7250000000000005
1961-01-01 00:08:00,Mean Temperature,14.208333333333334
1961-01-01 00:09:00,Average Maximum Temperature,17.0
1961-01-01 00:09:00,Average Minimum Temperature,9.725
1961-01-01 00:09:00,Highest Temperature,21.858333333333334
1961-01-01 00:09:00,Lowest Temperature,4.558333333333334
1961-01-01 00:09:00,Mean Temperature,13.391666666666666
1961-01-01 00:10:00,Average Maximum Temperature,13.258333333333333
1961-01-01 00:10:00,Average Minimum Temperature,6.908333333333334
1961-01-01 00:10:00,Highest Temperature,17.45
1961-01-01 00:10:00,Lowest Temperature,1.825
1961-01-01 00:10:00,Mean Temperature,10.1
1961-01-01 00:11:00,Average Maximum Temperature,9.616666666666667
1961-01-01 00:11:00,Average Minimum Temperature,4.258333333333334
1961-01-01 00:11:00,Highest Temperature,13.958333333333334
1961-01-01 00:11:00,Lowest Temperature,-1.2416666666666665
1961-01-01 00:11:00,Mean Temperature,6.958333333333333
1961-01-01 00:12:00,Average Maximum Temperature,7.0
1961-01-01 00:12:00,Average Minimum Temperature,1.3833333333333335
1961-01-01 00:12:00,Highest Temperature,13.125
1961-01-01 00:12:00,Lowest Temperature,-6.908333333333334
1961-01-01 00:12:00,Mean Temperature,4.216666666666667
1962-01-01 00:01:00,Average Maximum Temperature,8.161538461538461
1962-01-01 00:01:00,Average Minimum Temperature,2.4692307692307693
